Timestamp,در کدام محدوده سنی هستید؟,جنسیت,خودتون رو متعلق به کدوم استان می دونین؟ بچه کجایین؟ (:,استان محل کار,چند سال تجربه کار تمام وقت دارید؟,آخرین وضعیت تحصیلی,چه مدارک بین المللی ای اخذ کرده اید,چند ساعت در هفته برای یادگیری تکنولوژی‌ها، زبان ها و ... جدید وقت می گذارید؟,چند ساعت در هفته برای پروژه‌های غیرکاری ولی مرتبط با حوزه کاری خود (برنامه نویسی، وبلاگنویسی، گزارش باگ، ...) وقت می گذارید؟,در سه ماه گذشته چند کتاب خوانده اید؟,زبان‌های برنامه‌نویسی مورد استفاده شما در پروژه‌ها کدامند؟,به جز زبان‌های فعلی‌تان، دوست دارید با چه زبان برنامه ای نویسی کار کنید؟,دیتابیس‌های مورد استفاده,سیستم عامل رومیزی شما کدام است؟,سیستم عامل سرور مورد علاقه شما,و وقتی صحبت از تلفن همراه باشد...,در چه محیطی برنامه نویسی می‌کنید,تم آی دی ای,از چه سورس کنترلی استفاده می کنید؟,تب یا اسپیس؟,نوشیدنی‌های اصلی شما چیست؟,کدام‌ها در مورد شما صدق می‌کند,به طور معمول چند دیوایس دیجیتال با خودتان حمل می کنید (شامل لپ تاپ، پخش کننده موزیک، موبایل،‌ کتابخوان، ...),حوزه کاری شما چیست,نوع شرکت شما کدام است؟,تعداد مجموع کارمندان شرکت (در صورتی که انفرادی کار می کنید: 1),متوسط درآمد ماهیانه شما (به تومان),محل کار چه خدماتی بیشتر از حقوق ارائه می دهد,چگونه کار می کنید؟,شیوه کار شما کدام است؟,در صورتی که ساعتی کار می کنید، حقوق ساعتی شما چقدر است؟ (تومان),چقدر از کاری که انتخاب کرده اید راضی هستید؟,آیا نکته ای هست که بخواهید اضافه کنید؟ بنویسید...,تیپ ,تغییر در بدن؟,سبک موسیقی,وضعیت رابطه,از کدام تکنولوزی ها استفاده می کنید,سبک لباس
2/23/2016 13:22:32,۳۰ تا ۳۹,مرد,تهران,تهران,هفت تا پانزده سال,لیسانس,"Management (PMP, SCRUM, ITIL, ...), DB (Oracle, ..)",کمتر از دو ساعت,دو تا هفت ساعت,سه تا شش,"Java, C#, Javascript, Objective C, Swift, SQL","Python, Ruby, Scala, Go","MS-SQL, sqlite","Windows 10, OS X",Windows Server 2008,iOS,ویژوال استودیو,تیره,گیت,تب,"چای, انرژی زا, آب","حیوان خانگی دارم, حداقل یک روز در میان دوش می گیرم",2,مدیر شرکت / پروژه / ...,استارتاپ,30,پنج تا هفت میلیون,"قهوه،‌ چای و ... رایگان, پاداش بر اساس نتایج, برگزاری مراسم و تولدها در داخل شرکت, بیمه",تمام وقت خصوصی,تمام وقت‌های کاری را در دفتر هستم,,5,,,,,,,
2/23/2016 13:31:11,زیر ۱۸ سال,مرد,آذربایجان شرقی,تهران,هفت تا پانزده سال,کاردانی,"Management (PMP, SCRUM, ITIL, ...), Programming Languages (Java, MCP, ..)",دو تا هفت ساعت,کمتر از دو ساعت,یک,"C#, SQL","Java, Javascript",MS-SQL,"Windows 8, Windows 10",Windows Server 2012,Android,ویژوال استودیو,تیره,تی اف اس,تب,"چای, قهوه",سیاست برایم مهم است,,"مدیر سیستم, مدیر شرکت / پروژه / ...",شرکت های تولید نرم افزار,10,پنج تا هفت میلیون,"قهوه،‌ چای و ... رایگان, سفر، اردو، برنامه های تفریحی خارج شرکت به خرج شرکت, برگزاری مراسم و تولدها در داخل شرکت, بیمه",تمام وقت خصوصی,تمام وقت‌های کاری را در دفتر هستم,,5,,,,,,,
2/23/2016 13:39:08,۲۳ تا ۲۹,مرد,مازندران,تهران,یک تا سه سال,در حال تحصیل در فوق لیسانس,,هفت تا چهارده ساعت,کمتر از دو ساعت,دو یا سه,"PHP, Javascript, css, html","Python, Swift","MySQL/MariaDB, MongoDB",OS X,Linux CentOS,iOS,"سابلایم, اتم",تیره,گیت,تب,"انواع ماء الشعیر, آب","سیاست برایم مهم است, حداقل یک روز در میان دوش می گیرم",1,توسعه دهنده فرانت اند,شرکت های تولید نرم افزار,8,یک تا دو میلیون,"عضویت باشگاه های ورزشی یا هزینه ورزش, قهوه،‌ چای و ... رایگان, خوراکی و اسنک‌های رایگان داخل شرکت, بیمه",تمام وقت خصوصی,اکثر وقت‌ها در دفتر ولی دورکاری هم می کنم,ساعتی کار نمی کنم,2,وقتی سطح کاری، لایف استایل و امکاناتی که دولوپرهای خارجی دارن رو با وضع خودم مقایسه میکنم به کل نا امید میشم,,,,,,
2/23/2016 13:39:24,۲۳ تا ۲۹,مرد,تهران,تهران,سه تا هفت سال,لیسانس,,بیشتر از چهارده ساعت,دو تا هفت ساعت,هیچ,"C#, Ruby, Objective C, SQL, Bash",Go,"MS-SQL, MySQL/MariaDB, sqlite, MongoDB, Redis","Windows 10, Linux Ubuntu, OS X EI CAPITAN",Windows Server 2012,iOS,"ویژوال استودیو, ادیتورهای متن ساده (نوت پد پلاس پلاس، جی ادیت)",تیره,گیت,تب,"چای, قهوه, انواع ماء الشعیر, آب",حداقل یک روز در میان دوش می گیرم,4,"توسعه دهنده فول استک وب, توسعه دهنده بک اند, تحلیلگر",بخش آی تی شرکت های غیر نرم افزاری (مانند مخابراتی‌ها، بانک ها، ...),150,پنج تا هفت میلیون,"ناهار رایگان, قهوه،‌ چای و ... رایگان, بیمه, بیمه تکمیلی",تمام وقت خصوصی,تمام وقت‌های کاری را در دفتر هستم,,3,,,,,,,
2/23/2016 13:42:13,۳۰ تا ۳۹,مرد,خوزستان,تهران,هفت تا پانزده سال,لیسانس,,هفت تا چهارده ساعت,دو تا هفت ساعت,دو یا سه,"Python, PHP, Javascript, SQL","R, Go",MySQL/MariaDB,"Windows 10, Linux Ubuntu",Linux Debian,Android,"ادیتورهای متن ساده (نوت پد پلاس پلاس، جی ادیت), محصولات جت برین",روشن,گیت,تب,"چای, قهوه","گیاهخوار / خام خوار / خام گیاهخوار / ... هستم, حیوان خانگی دارم, سیاست برایم مهم است, حداقل یک روز در میان دوش می گیرم",3,"مدیر سیستم, امنیت",شرکت های ارائه دهنده سرویس های مختلف,8,سه و نیم تا پنج میلیون,,تمام وقت خصوصی,دورکاری کامل,ساعتی کار نمی کنم,4,,,,,,,
2/23/2016 13:44:09,۲۳ تا ۲۹,مرد,تهران,تهران,زیر یکسال,در حال تحصیل در دوره لیسانس,,دو تا هفت ساعت,دو تا هفت ساعت,یک,"SQL, Bash",Javascript,"MySQL/MariaDB, MongoDB",Windows 10,Linux Debian,Android,برنامه نویسی نمی کنم,از آی دی ای استفاده نمی کنم,استفاده نمی کنم,تب,چای,سیاست برایم مهم است,3,شبکه,استارتاپ,17,زیر یک میلیون,قهوه،‌ چای و ... رایگان,تمام وقت خصوصی,تمام وقت‌های کاری را در دفتر هستم,ساعتی کار نمی کنم,1,وقتی استارت آپ میشه شرکت برید بیرون ,,,,,,
2/23/2016 13:44:45,۳۰ تا ۳۹,مرد,آذربایجان شرقی,تهران,یک تا سه سال,دیپلم,,کمتر از دو ساعت,دو تا هفت ساعت,سه تا شش,"PHP, Javascript, SQL, Bash","C, Python, Go",MySQL/MariaDB,Linux Debian,"Linux CentOS, Linux Debian","Dump phones (1100, ...)",سابلایم,تیره,گیت,اسپیس,"چای, قهوه, دمنوش‌های متنوع",حداقل یک روز در میان دوش می گیرم,3,"توسعه دهنده بک اند, توسعه دهنده فرانت اند, مدیر سیستم, طراح",شرکت های تولید نرم افزار,1,دو تا سه و نیم میلیون,,پروژه ای مستقل,شخصی کار می کنم و در محل خودم,بین ده تا بیست و پنج,4,"حس کردم به بحث شرکتی کار کردن و کارمند بودن بیشتر پرداخته شده و بحث فریلنسی کمتر در نظر گرفته شده

اگر این بحث بیشتر در نظر گرفته میشد ممکن بود نوع سوال‌ها تغییر کنه و یا گزینه‌های بعضی سوالات زیادتر بشه",,,,,,
2/23/2016 13:45:01,۳۰ تا ۳۹,مرد,تهران,تهران,هفت تا پانزده سال,لیسانس,"Linux (LPIC, ...), Management (PMP, SCRUM, ITIL, ...)",دو تا هفت ساعت,کمتر از دو ساعت,دو یا سه,"Ruby, Bash","Python, Go","MySQL/MariaDB, Postgresql",Linux Debian,Linux Debian,Android,ویم,از آی دی ای استفاده نمی کنم,گیت,تفاوتی ندارد,"چای, قهوه, آب","سیاست برایم مهم است, حداقل یک روز در میان دوش می گیرم",2,مدیر سیستم,شرکت های ارائه دهنده سرویس های مختلف,140,هفت تا ده میلیون,"عضویت باشگاه های ورزشی یا هزینه ورزش, قهوه،‌ چای و ... رایگان, لپ تاپ",شرکت های خارجی,تمام وقت‌های کاری را در دفتر هستم,ساعتی کار نمی کنم,4,,,,,,,
2/23/2016 13:48:43,۲۳ تا ۲۹,زن,هرمزگان,هرمزگان,زیر یکسال,لیسانس,,دو تا هفت ساعت,کمتر از دو ساعت,دو یا سه,Java,"PHP, Javascript, SQL",sqlite,Windows 7,Windows Server 2012,Android,ویژوال استودیو,روشن,گیت,اسپیس,دمنوش‌های متنوع,"حیوان خانگی دارم, در رابطه نیستم ولی دوست داشتم بودم, حداقل یک روز در میان دوش می گیرم",3,نوسعه دهنده موبایل,استارتاپ,1,یک تا دو میلیون,,پروژه ای مستقل,شخصی کار می کنم و در محل خودم,,3,,,,,,,
2/23/2016 13:51:00,۲۳ تا ۲۹,مرد,تهران,تهران,یک تا سه سال,در حال تحصیل در فوق لیسانس,,هفت تا چهارده ساعت,هفت تا چهارده ساعت,سه تا شش,"Python, PHP, Bash","R, Go","MySQL/MariaDB, sqlite",Linux Ubuntu,"Linux Debian, Linux Ubuntu",Android,ویم,از آی دی ای استفاده نمی کنم,گیت,تب,"قهوه, آب","سیاست برایم مهم است, حداقل یک روز در میان دوش می گیرم",2,"مدیر سیستم, شبکه, سیستم های درونساز",شرکت های پشتیبانی و دیگر خدمات نرم افزار,1,یک تا دو میلیون,بیمه,پروژه ای با شرکت‌ها,اکثر وقت‌ها در دفتر ولی دورکاری هم می کنم,ساعتی کار نمی کنم,3,,,,,,,
2/23/2016 14:02:31,۲۳ تا ۲۹,مرد,کرمان,تهران,سه تا هفت سال,فوق لیسانس,"Network (CCNA, MCSE, MCITP, ...), Windows (MCP, ...), Security (CEH, MTA, ...)",دو تا هفت ساعت,کمتر از دو ساعت,سه تا شش,"C++, C#","Python, Perl","MS-SQL, MySQL/MariaDB","Windows XP, Windows 10, Linux Ubuntu, Linux Fedora","Windows Server 2008, Linux CentOS",Android,"ویژوال استودیو, سابلایم, محصولات اکلیپس",گاهی روشن گاهی تیره,گیت,اسپیس,"چای, انرژی زا",سیاست برایم مهم است,2,"مدیر سیستم, مدیر دیتابیس, شبکه, امنیت",شرکت های پشتیبانی و دیگر خدمات نرم افزار,10,یک تا دو میلیون,"قهوه،‌ چای و ... رایگان, بیمه, بیمه تکمیلی",تمام وقت خصوصی,اکثر وقت‌ها در دفتر ولی دورکاری هم می کنم,ساعتی کار نمی کنم,2,:),,,,,,
2/23/2016 14:06:40,۲۳ تا ۲۹,مرد,تهران,تهران,یک تا سه سال,دیپلم,,کمتر از دو ساعت,کمتر از دو ساعت,دو یا سه,"PHP, Javascript","Swift, Go",MySQL/MariaDB,"Windows 7, Windows 10, OS X",Linux ( Other ),Android,سابلایم,تیره,گیت,اسپیس,آب,حداقل یک روز در میان دوش می گیرم,2,توسعه دهنده فرانت اند,شرکت های تولید نرم افزار,12,دو تا سه و نیم میلیون,قهوه،‌ چای و ... رایگان,تمام وقت خصوصی,تمام وقت‌های کاری را در دفتر هستم,,3,,,,,,,
2/23/2016 14:08:14,۱۸ تا ۲۲,مرد,تهران,تهران,سه تا هفت سال,در حال تحصیل در دوره لیسانس,,دو تا هفت ساعت,دو تا هفت ساعت,یک,"C, C++, Javascript","Java, Swift, Go",MS-SQL,OS X,"Windows Server 2012, Linux CentOS",iOS,"سابلایم, اتم",تیره,گیت,تب,"چای, قهوه, دمنوش‌های متنوع","سیاست برایم مهم است, در رابطه نیستم ولی دوست داشتم بودم, حداقل یک روز در میان دوش می گیرم",5,"نوسعه دهنده موبایل, توسعه دهنده فرانت اند, طراح",شرکت های تولید نرم افزار,5,یک تا دو میلیون,"قهوه،‌ چای و ... رایگان, کارت هدیه و کارت خرید, پاداش بر اساس نتایج, برگزاری مراسم و تولدها در داخل شرکت",نیمه وقت خصوصی,اکثر مواقع دورکاری و گاهی به دفتر می روم,بین ده تا بیست و پنج,3,,,,,,,
2/23/2016 14:08:57,۳۰ تا ۳۹,مرد,خراسان رضوی,تهران,هفت تا پانزده سال,در حال تحصیل در دوره لیسانس,,دو تا هفت ساعت,دو تا هفت ساعت,یک,"Python, PHP, Javascript","Java, C++, Ruby, Objective C, Swift","MySQL/MariaDB, MongoDB",OS X,Linux CentOS,iOS,"سابلایم, پی‌اچ‌پی استورم",تیره,گیت,تب,"چای, قهوه, دمنوش‌های متنوع, انرژی زا, نوشابه, انواع ماء الشعیر, نوشیدنی‌های غیر مجاز, آب","بیشتر از یک نخ در روز سیگار می کشم, حداقل یک روز در میان دوش می گیرم",3,"توسعه دهنده فول استک وب, نوسعه دهنده موبایل, طراح, مدیر شرکت / پروژه / ...",شرکت های تولید نرم افزار,12,سه و نیم تا پنج میلیون,"قهوه،‌ چای و ... رایگان, پاداش بر اساس نتایج, آموزش خارج از شرکت, برگزاری مراسم و تولدها در داخل شرکت, لپ تاپ, بیمه, بیمه تکمیلی",تمام وقت خصوصی,تمام وقت‌های کاری را در دفتر هستم,ساعتی کار نمی کنم,5,مرسی جادی :),,,,,,
2/23/2016 14:09:03,۲۳ تا ۲۹,مرد,اصفهان,اصفهان,یک تا سه سال,لیسانس,"Linux (LPIC, ...)",بیشتر از چهارده ساعت,دو تا هفت ساعت,دو یا سه,"PHP, Javascript","Java, Python, Go",MySQL/MariaDB,Linux Ubuntu,"Linux RedHat, Linux CentOS, Linux Ubuntu",Android,سابلایم,گاهی روشن گاهی تیره,گیت,تب,"چای, قهوه, نوشیدنی‌های غیر مجاز, آب","سیاست برایم مهم است, در رابطه نیستم ولی دوست داشتم بودم",2,توسعه دهنده بک اند,شرکت های تولید نرم افزار,5,دو تا سه و نیم میلیون,"قهوه،‌ چای و ... رایگان, خوراکی و اسنک‌های رایگان داخل شرکت",تمام وقت خصوصی,اکثر وقت‌ها در دفتر ولی دورکاری هم می کنم,,5,"توی ۸ماه که خدمت بودم تصمیم گرفتم برم سمت برنامه نویسی و توی پادگان برگه پرینت می گرفتم و می خوندم و بعدش از خدمت اومدم بیرون و حسابی کار کردم که در نهایت یه شرکت خیلی خوب کار می کنم که کارشون خارج کشور هست فقط. قبل از این کارم تعمیرات سخت افزار کامپیوتر بود.
الگوهام هم دوستم که خیلی کمکم کرد و یکی هم جادی.",,,,,,
2/23/2016 14:16:03,۲۳ تا ۲۹,مرد,تهران,تهران,هفت تا پانزده سال,لیسانس,,دو تا هفت ساعت,دو تا هفت ساعت,بیشتر از شش,"Python, Javascript",Go,"MySQL/MariaDB, Postgresql, MongoDB",Linux Ubuntu,Linux Ubuntu,Android,"سابلایم, ایمکس",تیره,گیت,اسپیس,چای,حداقل یک روز در میان دوش می گیرم,3,"توسعه دهنده فول استک وب, تحلیلگر, مدیر شرکت / پروژه / ...",شرکت های تولید نرم افزار,25,سه و نیم تا پنج میلیون,"قهوه،‌ چای و ... رایگان, خوراکی و اسنک‌های رایگان داخل شرکت, سفر، اردو، برنامه های تفریحی خارج شرکت به خرج شرکت, برگزاری مراسم و تولدها در داخل شرکت, بیمه",تمام وقت خصوصی,تمام وقت‌های کاری را در دفتر هستم,بین پنجاه تا صد,4,تشکر از سوالاتتون,,,,,,
2/23/2016 14:16:10,۳۰ تا ۳۹,مرد,تهران,تهران,هفت تا پانزده سال,در حال تحصیل در فوق لیسانس,"Network (CCNA, MCSE, MCITP, ...), Linux (LPIC, ...), Security (CEH, MTA, ...)",هفت تا چهارده ساعت,دو تا هفت ساعت,دو یا سه,SQL,C#,MS-SQL,Windows 10,Windows Server 2012,Android,ویژوال استودیو,روشن,استفاده نمی کنم,تب,چای,"بیشتر از یک نخ در روز سیگار می کشم, حداقل یک روز در میان دوش می گیرم",,"مدیر سیستم, شبکه, امنیت",بخش آی تی شرکت های غیر نرم افزاری (مانند مخابراتی‌ها، بانک ها، ...),8000,دو تا سه و نیم میلیون,"ناهار رایگان, قهوه،‌ چای و ... رایگان, بیمه",تمام وقت دولتی با استخدام دائمی,تمام وقت‌های کاری را در دفتر هستم,,4,,,,,,,
2/23/2016 14:16:33,۲۳ تا ۲۹,مرد,تهران,تهران,سه تا هفت سال,لیسانس,,کمتر از دو ساعت,کمتر از دو ساعت,یک,"PHP, Javascript","Python, Bash","MySQL/MariaDB, Postgresql, Redis",OS X,Linux Debian,Android,محصولات جت برین,تیره,گیت,تب,قهوه,حداقل یک روز در میان دوش می گیرم,2,توسعه دهنده فول استک وب,استارتاپ,1,دو تا سه و نیم میلیون,,پروژه ای مستقل,شخصی کار می کنم و در محل خودم,بین بیست و پنج تا پنجاه,5,دوست دارم بیشتر به برنامه نویس ها توی ایران اهمیت بدن ,,,,,,
2/23/2016 14:17:05,۲۳ تا ۲۹,مرد,,تهران,یک تا سه سال,لیسانس,,دو تا هفت ساعت,کمتر از دو ساعت,یک,"Java, PHP, SQL","Python, Swift","MySQL/MariaDB, sqlite",OS X,Linux CentOS,Android,محصولات جت برین,گاهی روشن گاهی تیره,گیت,تب,"انواع ماء الشعیر, آب",در رابطه نیستم ولی دوست داشتم بودم,3,"نوسعه دهنده موبایل, توسعه دهنده فرانت اند",شرکت های تولید نرم افزار,20,دو تا سه و نیم میلیون,"عضویت باشگاه های ورزشی یا هزینه ورزش, قهوه،‌ چای و ... رایگان, خوراکی و اسنک‌های رایگان داخل شرکت, کارت هدیه و کارت خرید, سفر، اردو، برنامه های تفریحی خارج شرکت به خرج شرکت, بیمه, بیمه تکمیلی",تمام وقت خصوصی,تمام وقت‌های کاری را در دفتر هستم,بین ده تا بیست و پنج,5,,,,,,,
