Timestamp,در کدام محدوده سنی هستید؟,جنسیت,خودتون رو متعلق به کدوم استان می دونین؟ بچه کجایین؟ (:,استان محل کار,چند سال تجربه کار تمام وقت دارید؟,آخرین وضعیت تحصیلی,چه مدارک بین المللی ای اخذ کرده اید,چند ساعت در هفته برای یادگیری تکنولوژی‌ها، زبان ها و ... جدید وقت می گذارید؟,چند ساعت در هفته برای پروژه‌های غیرکاری ولی مرتبط با حوزه کاری خود (برنامه نویسی، وبلاگنویسی، گزارش باگ، ...) وقت می گذارید؟,در سه ماه گذشته چند کتاب خوانده اید؟,زبان‌های برنامه‌نویسی مورد استفاده شما در پروژه‌ها کدامند؟,به جز زبان‌های فعلی‌تان، دوست دارید با چه زبان برنامه ای نویسی کار کنید؟,دیتابیس‌های مورد استفاده,سیستم عامل رومیزی شما کدام است؟,سیستم عامل سرور مورد علاقه شما,و وقتی صحبت از تلفن همراه باشد...,در چه محیطی برنامه نویسی می‌کنید,تم آی دی ای,از چه سورس کنترلی استفاده می کنید؟,از کدام تکنولوزی ها استفاده می کنید,تب یا اسپیس؟,نوشیدنی‌های اصلی شما چیست؟,تیپ ,تغییر در بدن؟,کدام‌ها در مورد شما صدق می‌کند,سبک موسیقی,وضعیت رابطه,به طور معمول چند دیوایس دیجیتال با خودتان حمل می کنید (شامل لپ تاپ، پخش کننده موزیک، موبایل،‌ کتابخوان، ...),حوزه کاری شما چیست,نوع شرکت شما کدام است؟,تعداد مجموع کارمندان شرکت (در صورتی که انفرادی کار می کنید: 1),متوسط درآمد ماهیانه شما (به تومان),محل کار چه خدماتی بیشتر از حقوق ارائه می دهد,چگونه کار می کنید؟,شیوه کار شما کدام است؟,در صورتی که ساعتی کار می کنید، حقوق ساعتی شما چقدر است؟ (تومان),چقدر از کاری که انتخاب کرده اید راضی هستید؟,آیا نکته ای هست که بخواهید اضافه کنید؟ بنویسید...
2/28/2017 18:27:28,۲۳ تا ۲۹,مرد,مازندران,تهران,هفت تا پانزده سال,دیپلم,,بیشتر از چهارده ساعت,هفت تا چهارده ساعت,یک,"PHP, Javascript","Ruby, Go","MySQL/MariaDB, MongoDB",OS X,Linux RedHat,iOS,سابلایم,تیره,گیت,کلاود,تب,قهوه,"تی شرت, جین, پیرهن مردونه, ساعت می بندم",,"بیشتر از یک نخ در روز سیگار می کشم, سیاست برایم مهم است, حداقل یک روز در میان دوش می گیرم","راک, رپ, بلوز",ازدواج کرده ام,3,"توسعه دهنده فول استک وب, طراح, تحلیلگر","شرکت های تولید نرم افزار, استارتاپ",30,دو تا سه و نیم میلیون,بیمه,تمام وقت خصوصی,تمام وقت‌های کاری را در دفتر هستم,ساعتی کار نمی کنم,3,
2/28/2017 18:29:17,۲۳ تا ۲۹,مرد,تهران,تهران,یک تا سه سال,در حال تحصیل در دوره لیسانس,"Network (CCNA, MCSE, MCITP, ...), Programming Languages (Java, MCP, ..)",دو تا هفت ساعت,بیشتر از چهارده ساعت,یک,Objective C,"PHP, Bash, Node.js","MySQL/MariaDB, Postgresql",OS X,Linux Debian,iOS,ایکس کد,تیره,گیت,"سورس کنترل, تست های خودکار",تب,"انرژی زا, انواع ماء الشعیر, آب","تی شرت, جین, پیرهن مردونه, رنگی رنگی, تیره, روشن, گجت پوشیدنی دارم (ساعت هوشمند، ...), ساعت می بندم, اسپورت, متفاوت از اکثریت",,"بیشتر از یک نخ در روز سیگار می کشم, بیشتر از سه بار در هفته ورزش می کنم, حداقل یک روز در میان دوش می گیرم","راک, easy listening, بلوز, کانتری",بدون رابطه و بدون علاقه به شروع,6,توسعه دهنده موبایل,"شرکت های تولید نرم افزار, شرکت های ارائه دهنده سرویس های مختلف, استارتاپ, شرکت های خارجی",100,ده تا سیزده,"قهوه،‌ چای و ... رایگان, پاداش بر اساس نتایج, سفر، اردو، برنامه های تفریحی خارج شرکت به خرج شرکت, برگزاری مراسم و تولدها در داخل شرکت, لپ تاپ",نیمه وقت خصوصی,اکثر وقت‌ها در دفتر ولی دورکاری هم می کنم,بین صد تا دویست,5,
2/28/2017 18:30:17,۳۰ تا ۳۹,مرد,تهران,تهران,هفت تا پانزده سال,لیسانس,,هفت تا چهارده ساعت,هفت تا چهارده ساعت,هیچ,"C#, Javascript","Python, Go","MS-SQL, MySQL/MariaDB, MongoDB, Redis",Windows 10,"Windows Server 2008, Windows Server 2012, Linux Ubuntu",Android,"ویژوال استودیو, اتم, ادیتورهای متن ساده (نوت پد پلاس پلاس، جی ادیت)",تیره,گیت,سورس کنترل,تفاوتی ندارد,چای,"تی شرت, جین, پیرهن مردونه",,سیاست برایم مهم است,"متال, راک",ازدواج کرده ام,,توسعه دهنده فول استک وب,"شرکت های ارائه دهنده سرویس های مختلف, استارتاپ",200,پنج تا هفت میلیون,"باشگاه ورزشی داخل شرکت, عضویت باشگاه های ورزشی یا هزینه ورزش, ناهار رایگان, قهوه،‌ چای و ... رایگان, سفر، اردو، برنامه های تفریحی خارج شرکت به خرج شرکت, بیمه, بیمه تکمیلی",تمام وقت خصوصی,تمام وقت‌های کاری را در دفتر هستم,بین پنجاه تا صد,5,
2/28/2017 18:49:52,۳۰ تا ۳۹,مرد,تهران,تهران,زیر یکسال,لیسانس,"ciw, jquery,sql,.....",دو تا هفت ساعت,دو تا هفت ساعت,سه تا شش,"C#, Visual Basic, SQL","Java, C++, C#, Javascript, Matlab, SQL",MS-SQL,Windows 8,Windows Server 2012,"Android, iOS, Windows Phone",ویژوال استودیو,روشن,استفاده نمی کنم,"سورس کنترل, کانتینرها, بیلد سیستم ها",هان؟,"چای, انواع ماء الشعیر, آب","پیرهن مردونه, ساعت می بندم",,,"پاپ ایرانی, پاپ خارجی",بدون رابطه و بدون علاقه به شروع,,"توسعه دهنده بک اند, توسعه دهنده موبایل, توسعه دهنده دسکتاپ, توسعه دهنده فرانت اند",شرکت های تولید نرم افزار,4,زیر یک میلیون,قهوه،‌ چای و ... رایگان,تمام وقت خصوصی,تمام وقت‌های کاری را در دفتر هستم,زیر ده هزار,3,
2/28/2017 19:59:28,۲۳ تا ۲۹,مرد,تهران,تهران,سه تا هفت سال,لیسانس,"Management (PMP, SCRUM, ITIL, ...)",دو تا هفت ساعت,دو تا هفت ساعت,دو یا سه,"C#, Javascript","Python, Ruby, Go","MS-SQL, MySQL/MariaDB, Postgresql, MongoDB",OS X,Linux CentOS,iOS,Visual Studio Code,گاهی روشن گاهی تیره,گیت,"سورس کنترل, کانتینرها",تب,قهوه,"تی شرت, جین, ساعت می بندم, اسپورت",تتو,"سیاست برایم مهم است, حداقل یک روز در میان دوش می گیرم","کلاسیک, سنتی, پاپ ایرانی, پاپ خارجی, متال, راک, easy listening, بلوز, کانتری, الکترونیک دنس",ازدواج کرده ام,2,توسعه دهنده فول استک وب,استارتاپ,7,سه و نیم تا پنج میلیون,"قهوه،‌ چای و ... رایگان, برگزاری مراسم و تولدها در داخل شرکت, بیمه, بیمه تکمیلی",تمام وقت خصوصی,اکثر وقت‌ها در دفتر ولی دورکاری هم می کنم,,4,
3/1/2017 14:12:53,۲۳ تا ۲۹,مرد,همدان,تهران,یک تا سه سال,کاردانی,,هفت تا چهارده ساعت,کمتر از دو ساعت,دو یا سه,"Java, Python, Groovy, Bash","Swift, Scala, Go","MySQL/MariaDB, sqlite",Linux Arch,Linux Debian,Android,"اتم, محصولات جت برین",تیره,گیت,"سورس کنترل, بیلد سیستم ها, تست های خودکار",اسپیس,"چای, قهوه, انرژی زا, آب","تی شرت, جین",,"سیاست برایم مهم است, در رابطه نیستم ولی دوست داشتم بودم","راک, بلوز",بدون رابطه ولی علاقمند به شروع رابطه,2,توسعه دهنده موبایل,شرکت های تولید نرم افزار,45,یک تا دو میلیون,"قهوه،‌ چای و ... رایگان, بیمه",تمام وقت خصوصی,تمام وقت‌های کاری را در دفتر هستم,,4,
3/2/2017 13:13:22,۲۳ تا ۲۹,زن,تهران,تهران,یک تا سه سال,لیسانس,,بیشتر از چهارده ساعت,هفت تا چهارده ساعت,یک,"Python, PHP, Javascript, Bash","Perl, R, Scala, Go",MySQL/MariaDB,Windows 8,Linux Ubuntu,Android,"سابلایم, اتم, محصولات اکلیپس",تیره,گیت,"سورس کنترل, کانتینرها, بیلد سیستم ها, تست های خودکار",تب,"چای, دمنوش‌های متنوع","مجبور به حجاب, روسری, روشن",,"بیشتر از سه بار در هفته ورزش می کنم, سیاست برایم مهم است, حداقل یک روز در میان دوش می گیرم","پاپ خارجی, راک, easy listening, کانتری, الکترونیک دنس",با پارتنر دائم,2,"توسعه دهنده فول استک وب, توسعه دهنده بک اند, توسعه دهنده فرانت اند, طراح","شرکت های ارائه دهنده سرویس های مختلف, استارتاپ",50,دو تا سه و نیم میلیون,"ناهار رایگان, قهوه،‌ چای و ... رایگان, خوراکی و اسنک‌های رایگان داخل شرکت, پاداش بر اساس نتایج, سفر، اردو، برنامه های تفریحی خارج شرکت به خرج شرکت, برگزاری مراسم و تولدها در داخل شرکت, لپ تاپ, بیمه",تمام وقت خصوصی,تمام وقت‌های کاری را در دفتر هستم,ساعتی کار نمی کنم,3,
3/6/2017 16:14:21,۳۰ تا ۳۹,مرد,تهران,تهران,پانزده تا بیست و پنج,دیپلم,,هفت تا چهارده ساعت,دو تا هفت ساعت,یک,"Python, Javascript",Go,"MySQL/MariaDB, Postgresql, MongoDB, Redis","Windows 10, OS X",Linux CentOS,Phone? I dont carry a phone!,"سابلایم, محصولات جت برین",تیره,گیت,,تب,"چای, قهوه, نوشیدنی‌های الکلی","تی شرت, جین, پیرهن مردونه, رنگی رنگی",,حداقل یک روز در میان دوش می گیرم,"پاپ ایرانی, کانتری",با پارتنر دائم,1,مدیر شرکت / پروژه / ...,شرکت های تولید نرم افزار,30,هفت تا ده میلیون,"قهوه،‌ چای و ... رایگان, بیمه",تمام وقت خصوصی,اکثر وقت‌ها در دفتر ولی دورکاری هم می کنم,ساعتی کار نمی کنم,5,
3/6/2017 16:24:38,۲۳ تا ۲۹,مرد,البرز,تهران,سه تا هفت سال,در حال تحصیل در دوره لیسانس,,بیشتر از چهارده ساعت,هفت تا چهارده ساعت,دو یا سه,"PHP, Javascript",Go,"MySQL/MariaDB, MongoDB, Redis",OS X,"Linux Debian, Linux Ubuntu",iOS,محصولات جت برین,تیره,گیت,"سورس کنترل, کانتینرها, بیلد سیستم ها, تست های خودکار, کلاود",اسپیس,"قهوه, انرژی زا","تی شرت, جین, تیره, روشن, اسپورت",,"سیاست برایم مهم است, حداقل یک روز در میان دوش می گیرم","متال, راک, کانتری",با پارتنر دائم,2,"توسعه دهنده فول استک وب, توسعه دهنده بک اند","شرکت های تولید نرم افزار, استارتاپ",5,هفت تا ده میلیون,"قهوه،‌ چای و ... رایگان, بیمه",تمام وقت خصوصی,دورکاری کامل,بین بیست و پنج تا پنجاه,4,
3/6/2017 16:25:43,۲۳ تا ۲۹,مرد,تهران,تهران,سه تا هفت سال,در حال تحصیل در دوره لیسانس,,هفت تا چهارده ساعت,کمتر از دو ساعت,دو یا سه,"C++, Python, Javascript, Swift, Bash","R, Scala, Go",Postgresql,OS X,Linux Ubuntu,iOS,"سابلایم, اتم, ایکس کد, براکت, محصولات جت برین, ویم, ایمکس",تیره,گیت,"سورس کنترل, کانتینرها",تفاوتی ندارد,"قهوه, آب","تی شرت, جین, پیرهن مردونه, رنگی رنگی, تیره, گجت پوشیدنی دارم (ساعت هوشمند، ...), ساعت می بندم, اسپورت",,"بیشتر از یک نخ در روز سیگار می کشم, سیاست برایم مهم است, حداقل یک روز در میان دوش می گیرم","پاپ ایرانی, پاپ خارجی, راک, رپ, دامبول",با پارتنر دائم,4,"توسعه دهنده بک اند, توسعه دهنده موبایل, طراح, مدیر شرکت / پروژه / ...","شرکت های ارائه دهنده سرویس های مختلف, استارتاپ",100,سه و نیم تا پنج میلیون,"قهوه،‌ چای و ... رایگان, پاداش بر اساس نتایج, برگزاری مراسم و تولدها در داخل شرکت, لپ تاپ, بیمه, بیمه تکمیلی",تمام وقت دولتی با استخدام دائمی,دورکاری کامل,ساعتی کار نمی کنم,4,
3/6/2017 16:27:30,۲۳ تا ۲۹,مرد,تهران,تهران,سه تا هفت سال,لیسانس,,دو تا هفت ساعت,کمتر از دو ساعت,دو یا سه,"Java, PHP, Javascript, Groovy","Python, Ruby, R, Scala, Go","MySQL/MariaDB, Postgresql, sqlite, MongoDB",Linux Ubuntu,Linux Ubuntu,Android,محصولات جت برین,روشن,گیت,"سورس کنترل, بیلد سیستم ها, کلاود",تب,"چای, قهوه","تی شرت, جین, پیرهن مردونه, ساعت می بندم",,حداقل یک روز در میان دوش می گیرم,"کلاسیک, سنتی, پاپ ایرانی, پاپ خارجی, متال, راک",ازدواج کرده ام,1,"توسعه دهنده فول استک وب, توسعه دهنده موبایل, مدیر سیستم, مدیر دیتابیس, طراح, تحلیلگر, مدیر شرکت / پروژه / ...",شرکت های تولید نرم افزار,15,سه و نیم تا پنج میلیون,"قهوه،‌ چای و ... رایگان, بیمه",تمام وقت خصوصی,تمام وقت‌های کاری را در دفتر هستم,,5,
3/6/2017 16:28:29,۲۳ تا ۲۹,مرد,تهران,تهران,هفت تا پانزده سال,کاردانی,,دو تا هفت ساعت,دو تا هفت ساعت,بیشتر از شش,"Python, Go",Java,"MySQL/MariaDB, Postgresql, MongoDB",Linux Ubuntu,Linux Ubuntu,Android,سابلایم,تیره,گیت,"سورس کنترل, کانتینرها, بیگ دیتا, هوش مصنوعی",اسپیس,چای,"تی شرت, جین",,,"سنتی, راک, بلوز",ازدواج کرده ام,2,"توسعه دهنده فول استک وب, توسعه دهنده بک اند, مدیر دیتابیس, دانشمند داده, طراح, تحلیلگر, مدیر شرکت / پروژه / ...","بخش دولتی, بخش آی تی شرکت های غیر نرم افزاری (مانند مخابراتی‌ها، بانک ها، ...), شرکت های تولید نرم افزار, استارتاپ",30,پنج تا هفت میلیون,"قهوه،‌ چای و ... رایگان, لپ تاپ, بیمه",نیمه وقت خصوصی,تمام وقت‌های کاری را در دفتر هستم,بین بیست و پنج تا پنجاه,3,"tashakor az formetan
faghat man 4 rooz khososi kar mikonam 2 rooz dolati ke to formeton nashod por kard
alan ham goshim farsi nadare motasefane natonestam in form ro farsi por konam
tashakor"
3/6/2017 16:28:56,۱۸ تا ۲۲,مرد,تهران,تهران,زیر یکسال,در حال تحصیل در دوره لیسانس,,هفت تا چهارده ساعت,دو تا هفت ساعت,هیچ,Javascript,"Java, Python",No Database,Linux Ubuntu,Linux Ubuntu,Android,"سابلایم, محصولات جت برین",تیره,گیت,"بیلد سیستم ها, تست های خودکار",تب,"چای, قهوه","پیرهن مردونه, تیره, ساعت می بندم",,"حیوان خانگی دارم, حداقل یک روز در میان دوش می گیرم","سنتی, پاپ خارجی",با پارتنر دائم,2,"توسعه دهنده فرانت اند, طراح",استارتاپ,4,یک تا دو میلیون,"قهوه،‌ چای و ... رایگان, خوراکی و اسنک‌های رایگان داخل شرکت",نیمه وقت خصوصی,تمام وقت‌های کاری را در دفتر هستم,بین ده تا بیست و پنج,4,
3/6/2017 16:29:21,۲۳ تا ۲۹,مرد,البرز,تهران,زیر یکسال,در حال تحصیل در فوق لیسانس,,دو تا هفت ساعت,دو تا هفت ساعت,یک,"PHP, Javascript, Ruby, SQL","Java, Python, Swift, R, Go, Bash",MySQL/MariaDB,OS X,Linux Ubuntu,"Android, iOS","سابلایم, محصولات جت برین",تیره,گیت,"سورس کنترل, هوش مصنوعی",اسپیس,"چای, آب","تی شرت, جین, پیرهن مردونه",,"سیاست برایم مهم است, در رابطه نیستم ولی دوست داشتم بودم, حداقل یک روز در میان دوش می گیرم","سنتی, پاپ ایرانی, پاپ خارجی, کانتری",بدون رابطه ولی علاقمند به شروع رابطه,2,"توسعه دهنده فول استک وب, توسعه دهنده بک اند, توسعه دهنده فرانت اند, مدیر سیستم",استارتاپ,1,یک تا دو میلیون,,پروژه ای مستقل,شخصی کار می کنم و در محل خودم,بین ده تا بیست و پنج,3,
