"Timestamp","در کدام محدوده سنی هستید؟","جنسیت","خودتون رو متعلق به کدوم استان می دونین؟ بچه کجایین؟ (:","استان محل کار","چند سال تجربه کار تمام وقت دارید؟","آخرین وضعیت تحصیلی","چه مدارک بین المللی ای اخذ کرده اید","چند ساعت در هفته برای یادگیری تکنولوژی‌ها، زبان ها و ... جدید وقت می گذارید؟","بیشترین یادگیری شما در کجا اتفاق می افتد؟","چند ساعت در هفته برای پروژه‌های غیرکاری ولی مرتبط با حوزه کاری خود (برنامه نویسی، وبلاگنویسی، گزارش باگ، ...) وقت می گذارید؟","در سه ماه گذشته چند کتاب [غیردرسی] خوانده اید؟","زبان‌های برنامه‌نویسی مورد استفاده شما در پروژه‌ها کدامند؟","به جز زبان‌های فعلی‌تان، دوست دارید با چه زبان برنامه ای نویسی کار کنید؟","دیتابیس‌های مورد استفاده","سیستم عامل رومیزی شما کدام است؟","سیستم عامل سرور مورد علاقه شما","و وقتی صحبت از تلفن همراه باشد...","در چه محیطی برنامه نویسی می‌کنید","تم آی دی ای","از چه سورس کنترلی استفاده می کنید؟","از کدام تکنولوزی ها استفاده می کنید","کدام سرویس برای شما بسیار پر استفاده است؟","تب یا اسپیس؟","نوشیدنی‌های مورد علاقه شما چیست؟","تیپ ","تغییر در بدن؟","کدام‌ها در مورد شما صدق می‌کند","سبک موسیقی","وضعیت رابطه","به طور معمول چند دیوایس دیجیتال با خودتان حمل می کنید (شامل لپ تاپ، پخش کننده موزیک، موبایل،‌ کتابخوان، ...)","حوزه کاری شما چیست","نوع شرکت شما کدام است؟","تعداد مجموع کارمندان شرکت (در صورتی که انفرادی کار می کنید: 1)","متوسط درآمد ماهیانه شما (به تومان)","محل کار چه خدماتی بیشتر از حقوق ارائه می دهد","چگونه کار می کنید؟","شیوه کار شما کدام است؟","در صورتی که ساعتی کار می کنید، حقوق ساعتی شما چقدر است؟ (تومان)","چقدر از کاری که انتخاب کرده اید راضی هستید؟","آیا برنامه نویسی یا مدیریت سیستم‌ها شغل اصلی شماست؟"
"2018/02/13 3:08:01 PM GMT+4:30","زیر ۱۸ سال","مرد","تهران","تهران","زیر یکسال","در حال تحصیل کاردانی","","دو تا هفت ساعت","سایت‌های آموزش آنلاین خارجی;کتاب / خودآموزهای متنی;یادگیری از طریق انجام پروژه","دو تا هفت ساعت","دو یا سه","Python;Javascript","Python;Elixir","No Database;MySQL/MariaDB;MongoDB","Linux Ubuntu;Linux Debian;Linux Arch","Linux CentOS;Linux Debian;Linux Ubuntu","Android","سابلایم;اتم;ویم;VSCode","تیره","گیت","سورس کنترل;کانتینرها;بیلد سیستم ها;تست های خودکار;ویکی‌های مربوط به پروژه","استک اورفلو;تودولیست‌ها;اسلک;ابزارهای مدیریت پروژه اتلسین","اسپیس","قهوه;انرژی زا;نوشابه;انواع ماء الشعیر;نوشیدنی‌های الکلی;آب","تی شرت;جین;پیرهن مردونه;تیره;اسپورت","","بیشتر از یک نخ در روز سیگار می کشم;حداقل یک روز در میان دوش می گیرم;مینیمالیست هستم و سعی می‌کنم زندگی را پیچیده نکنم;به شکل مرتب بازی‌های کامپیوتری می‌کنم;اهل فیلم و سریال هستم;طبیعت را دوست دارم","متال;راک;رپ;الکترونیک دنس","رابطه های نا پایدار","4","توسعه دهنده فرانت اند","استارتاپ","11","دو تا سه و نیم میلیون","قهوه،‌ چای و ... رایگان;خوراکی و اسنک‌های رایگان داخل شرکت;آموزش خارج از شرکت;بیمه;بیمه تکمیلی","تمام وقت خصوصی (شامل استارتاپ‌های جا افتاده)","تمام وقت‌های کاری را در دفتر هستم","ساعتی کار نمی کنم","5","بله"
"2018/02/13 3:08:25 PM GMT+4:30","۳۰ تا ۳۹","مرد","یزد","تهران","سه تا هفت سال","فوق لیسانس","","هفت تا چهارده ساعت","سایت‌های آموزش آنلاین خارجی;کتاب / خودآموزهای متنی;یادگیری از طریق انجام پروژه","کمتر از دو ساعت","هیچ","Python;PHP;Javascript;SQL;Bash","Java","MySQL/MariaDB;Redis","Linux Debian","Linux Debian","Android","ویژوال استودیو;محصولات جت برین;ویم","تیره","گیت","سورس کنترل","استک اورفلو;تلگرام برای کنترل پروژه","تب","قهوه;انواع ماء الشعیر","تی شرت;جین;روشن;گجت پوشیدنی دارم (ساعت هوشمند، ...);اسپورت","","به شکل مرتب نماز می‌خونم;سیاست برایم مهم است;حداقل یک روز در میان دوش می گیرم;اهل فیلم و سریال هستم;طبیعت را دوست دارم","سنتی;پاپ ایرانی;کانتری","ازدواج کرده ام","1","توسعه دهنده بک اند","شرکت های تولید نرم افزار","30","سه و نیم تا پنج میلیون","قهوه،‌ چای و ... رایگان;بیمه","تمام وقت خصوصی (شامل استارتاپ‌های جا افتاده)","تمام وقت‌های کاری را در دفتر هستم","ساعتی کار نمی کنم","4","بله"
"2018/02/13 3:08:41 PM GMT+4:30","۲۳ تا ۲۹","مرد","اصفهان","اصفهان","یک تا سه سال","لیسانس","","دو تا هفت ساعت","سایت‌های آموزش آنلاین خارجی;یادگیری از طریق انجام پروژه","کمتر از دو ساعت","دو یا سه","Java;Kotlin","","sqlite;Other NoSQLs (couch, raven, ...)","Windows 10","Linux Ubuntu","Android;iOS","محصولات جت برین","تیره","گیت","سورس کنترل;بیلد سیستم ها;ویکی‌های مربوط به پروژه","استک اورفلو","اسپیس","چای سیاه;قهوه;دمنوش‌های متنوع;انرژی زا;انواع ماء الشعیر;آب","تی شرت;جین;پیرهن مردونه","","در رابطه نیستم ولی دوست داشتم بودم;مینیمالیست هستم و سعی می‌کنم زندگی را پیچیده نکنم;اهل فیلم و سریال هستم;طبیعت را دوست دارم","سنتی;پاپ ایرانی;پاپ خارجی","بدون رابطه ولی علاقمند به شروع رابطه","1","توسعه دهنده موبایل","شرکت های تولید نرم افزار;استارتاپ","5","یک تا دو میلیون","برگزاری مراسم و تولدها در داخل شرکت","استارتاپ دیگران","تمام وقت‌های کاری را در دفتر هستم","","2","بله"
"2018/02/13 3:09:16 PM GMT+4:30","۲۳ تا ۲۹","مرد","اصفهان","اصفهان","یک تا سه سال","لیسانس","","دو تا هفت ساعت","سایت‌های آموزش آنلاین خارجی;ویدئوهای مستقل آموزشی","کمتر از دو ساعت","یک","C#;Javascript;SQL","","MS-SQL","Windows 7;Windows 10","Windows Server 2012;Windows Server 2016","iOS","ویژوال استودیو","تیره","گیت;تی اف اس","سورس کنترل","استک اورفلو;تلگرام برای کنترل پروژه;ابزارهای مدیریت پروژه مایکروسافت","تب","قهوه","تی شرت;جین","","مینیمالیست هستم و سعی می‌کنم زندگی را پیچیده نکنم;طبیعت را دوست دارم","پاپ خارجی;الکترونیک دنس","با کامپیوتر/اینترنت/برنامه نویسی/سیستم عامل/... در رابطه ام","2","توسعه دهنده فول استک وب;توسعه دهنده بک اند","شرکت های تولید نرم افزار","8","یک تا دو میلیون","پاداش بر اساس نتایج","تمام وقت خصوصی (شامل استارتاپ‌های جا افتاده)","اکثر وقت‌ها در دفتر ولی دورکاری هم می کنم","","3","بله"
"2018/02/13 3:10:20 PM GMT+4:30","۲۳ تا ۲۹","مرد","تهران","تهران","سه تا هفت سال","لیسانس","","دو تا هفت ساعت","سایت‌های آموزش آنلاین خارجی;کتاب / خودآموزهای متنی;یادگیری از طریق انجام پروژه","کمتر از دو ساعت","سه تا شش","Java;Python;SQL;Scala","Go","Postgresql;sqlite;MongoDB;Redis;Other NoSQLs (couch, raven, ...)","Linux Ubuntu","Linux Ubuntu","iOS","محصولات جت برین","تیره","گیت","سورس کنترل;کانتینرها;بیلد سیستم ها;تست های خودکار;کلاود","استک اورفلو;ترلو;اسلک","اسپیس","قهوه;انواع ماء الشعیر;آب","تی شرت;جین;تیره;اسپورت","","سیاست برایم مهم است;حداقل یک روز در میان دوش می گیرم;خودم رو گیک می دونم","متال;راک","رابطه های نا پایدار","3","توسعه دهنده بک اند","شرکت های تولید نرم افزار","200","دو تا سه و نیم میلیون","قهوه،‌ چای و ... رایگان;کارت هدیه و کارت خرید;پاداش بر اساس نتایج;برگزاری مراسم و تولدها در داخل شرکت;بیمه;بیمه تکمیلی","نیمه وقت خصوصی (شامل استارتاپ‌های جا افتاده)","تمام وقت‌های کاری را در دفتر هستم","بین بیست و پنج تا پنجاه","4","بله"
"2018/02/13 3:10:35 PM GMT+4:30","۲۳ تا ۲۹","زن","تهران","تهران","سه تا هفت سال","لیسانس","","کمتر از دو ساعت","سایت‌های آموزش آنلاین خارجی;یادگیری از طریق انجام پروژه","صفر","بیشتر از شش","C#;Javascript","Python","MS-SQL;Redis","Windows 10","","Android","ویژوال استودیو","روشن","گیت","سورس کنترل;کانتینرها","استک اورفلو;ترلو;اسلک","تب","دمنوش‌های متنوع;انواع ماء الشعیر;آب","شال;رنگی رنگی;گجت پوشیدنی دارم (ساعت هوشمند، ...);اسپورت","","حداقل یک روز در میان دوش می گیرم;اهل فیلم و سریال هستم;طبیعت را دوست دارم","پاپ ایرانی;رپ","ازدواج کرده ام","3","توسعه دهنده فرانت اند;طراح","شرکت های تولید نرم افزار","12","دو تا سه و نیم میلیون","قهوه،‌ چای و ... رایگان;بیمه","تمام وقت خصوصی (شامل استارتاپ‌های جا افتاده)","تمام وقت‌های کاری را در دفتر هستم","","4","بله"
"2018/02/13 3:11:23 PM GMT+4:30","زیر ۱۸ سال","مرد","اردبیل","تهران","سه تا هفت سال","در حال تحصیل در دبیرستان یا پایینتر","","هفت تا چهارده ساعت","سایت‌های آموزش آنلاین خارجی;کتاب / خودآموزهای متنی","دو تا هفت ساعت","بیشتر از شش","Python;SQL;Bash","nim","sqlite;MongoDB;Redis","Linux Arch","Linux CentOS","Android","ویژوال استودیو;اتم;ادیتورهای متن ساده (نوت پد پلاس پلاس، جی ادیت);ویم","تیره","گیت","سورس کنترل;کانتینرها;بیلد سیستم ها;تست های خودکار;کلاود;هوش مصنوعی","استک اورفلو;تلگرام برای کنترل پروژه;IRC ","تب","چای سیاه;قهوه;انرژی زا;انواع ماء الشعیر","تی شرت;جین;تیره;گجت پوشیدنی دارم (ساعت هوشمند، ...);اسپورت;متفاوت از اکثریت","","بیشتر از سه بار در هفته ورزش می کنم;سیاست برایم مهم است;حداقل یک روز در میان دوش می گیرم;مینیمالیست هستم و سعی می‌کنم زندگی را پیچیده نکنم;به شکل مرتب بازی‌های کامپیوتری می‌کنم;اهل فیلم و سریال هستم;خودم رو گیک می دونم","کلاسیک","این بحث ها برام زوده","3","توسعه دهنده بک اند;توسعه دهنده دسکتاپ;مدیر سیستم;مدیر دیتابیس;دانشمند داده;شبکه;امنیت;تحلیلگر;تست کننده","شرکت های تولید نرم افزار;شرکت های پشتیبانی و دیگر خدمات نرم افزار","48","بالای سیزده","باشگاه ورزشی داخل شرکت;ناهار رایگان;قهوه،‌ چای و ... رایگان;خوراکی و اسنک‌های رایگان داخل شرکت;پاداش بر اساس نتایج;آموزش خارج از شرکت;لپ تاپ","پروژه ای با شرکت‌ها","دورکاری کامل","","5","خیر"
"2018/02/13 3:12:23 PM GMT+4:30","۱۸ تا ۲۲","مرد","بوشهر","تهران","زیر یکسال","دیپلم","DB (Oracle, ..)","دو تا هفت ساعت","سایت‌های آموزش آنلاین خارجی","دو تا هفت ساعت","دو یا سه","Java;Python;PHP;Javascript;Swift;SQL","Matlab","MS-SQL;sqlite","OS X","","Android","ایکس کد;محصولات جت برین","گاهی روشن گاهی تیره","گیت","هوش مصنوعی","","","دمنوش‌های متنوع","تی شرت;جین","تقویت کننده حواس","به شکل مرتب نماز می‌خونم;طبیعت را دوست دارم","پاپ ایرانی","با پارتنر دائم","2","توسعه دهنده موبایل","استارتاپ","1","زیر یک میلیون","بیمه","پروژه ای مستقل","شخصی کار می کنم و در محل خودم","زیر ده هزار","5","بله"
"2018/02/13 3:12:32 PM GMT+4:30","۲۳ تا ۲۹","مرد","خوزستان","خوزستان","یک تا سه سال","لیسانس","Network (CCNA, MCSE, MCITP, ...);Linux (LPIC, ...)","بیشتر از چهارده ساعت","سایت‌های آموزش آنلاین خارجی;سایت‌های آموزش آنلاین داخلی;ویدئوهای مستقل آموزشی;یادگیری از طریق انجام پروژه","هفت تا چهارده ساعت","دو یا سه","C#","","","Windows 10","Windows Server 2016;Linux CentOS","Android","ویژوال استودیو","روشن","استفاده نمی کنم","","","تب","آب","پیرهن مردونه;ساعت می بندم","","بیشتر از سه بار در هفته ورزش می کنم;حیوان خانگی دارم;مینیمالیست هستم و سعی می‌کنم زندگی را پیچیده نکنم;طبیعت را دوست دارم","","ازدواج کرده ام","","مدیر سیستم;شبکه;امنیت","بخش آی تی شرکت های غیر نرم افزاری (مانند مخابراتی‌ها، بانک ها، ...)","400","یک تا دو میلیون","ناهار رایگان;لپ تاپ;بیمه","تمام وقت خصوصی (شامل استارتاپ‌های جا افتاده)","اکثر وقت‌ها در دفتر ولی دورکاری هم می کنم","زیر ده هزار","5","بله"
"2018/02/13 3:14:53 PM GMT+4:30","۲۳ تا ۲۹","مرد","یزد","یزد","یک تا سه سال","در حال تحصیل در دوره لیسانس","Network (CCNA, MCSE, MCITP, ...)","کمتر از دو ساعت","کتاب / خودآموزهای متنی;یادگیری از طریق انجام پروژه","بیشتر از چهارده ساعت","دو یا سه","C++;Python;PHP;Javascript;Bash","Java;Perl;Go","MySQL/MariaDB","OS X;Linux Ubuntu","Linux CentOS;Linux Debian;Linux Ubuntu","Android;iOS","سابلایم","تیره","گیت","سورس کنترل;کانتینرها","استک اورفلو;تودولیست‌ها;تلگرام برای کنترل پروژه","اسپیس","چای سیاه;نوشابه;انواع ماء الشعیر","تی شرت;تیره;گجت پوشیدنی دارم (ساعت هوشمند، ...);ساعت می بندم","","به شکل مرتب نماز می‌خونم;حیوان خانگی دارم;سیاست برایم مهم است;حداقل یک روز در میان دوش می گیرم;خودم رو گیک می دونم","پاپ ایرانی","شکل‌های آلترناتیو رابطه","3","توسعه دهنده بک اند;مدیر سیستم;شبکه;امنیت","شرکت های تولید نرم افزار","50","دو تا سه و نیم میلیون","کارت هدیه و کارت خرید;پاداش بر اساس نتایج;بیمه","تمام وقت خصوصی (شامل استارتاپ‌های جا افتاده)","اکثر وقت‌ها در دفتر ولی دورکاری هم می کنم","بین ده تا بیست و پنج","5","بله"
"2018/02/13 3:16:31 PM GMT+4:30","۳۰ تا ۳۹","مرد","یزد","تهران","هفت تا پانزده سال","دیپلم","","هفت تا چهارده ساعت","کتاب / خودآموزهای متنی;یادگیری از طریق انجام پروژه","هفت تا چهارده ساعت","بیشتر از شش","Python;PHP;Javascript;SQL;Go;Bash","C++;Perl","MySQL/MariaDB;Postgresql;sqlite","Linux Debian","Linux Debian","Android;Dumb phones (1100, ...)","ویژوال استودیو;ویم","تیره","گیت;اس وی ان","سورس کنترل;ویکی‌های مربوط به پروژه","استک اورفلو;ترلو;تسکولو;تلگرام برای کنترل پروژه","اسپیس","چای سیاه;قهوه;دمنوش‌های متنوع;آب","تی شرت;جین;پیرهن مردونه;تیره","","سیاست برایم مهم است;حداقل یک روز در میان دوش می گیرم;طبیعت را دوست دارم;خودم رو گیک می دونم","کلاسیک;سنتی;easy listening","ازدواج کرده ام","3","توسعه دهنده بک اند;مدیر سیستم;مدیر دیتابیس;شبکه;سیستم های درونساز;تحلیلگر;مدیر شرکت / پروژه / ...","بخش آی تی شرکت های غیر نرم افزاری (مانند مخابراتی‌ها، بانک ها، ...);شرکت های تولید نرم افزار","30","پنج تا هفت میلیون","قهوه،‌ چای و ... رایگان;پاداش بر اساس نتایج;برگزاری مراسم و تولدها در داخل شرکت;هزینه های تلفن همراه;بیمه","تمام وقت خصوصی (شامل استارتاپ‌های جا افتاده)","اکثر وقت‌ها در دفتر ولی دورکاری هم می کنم","ساعتی کار نمی کنم","4","بله"
"2018/02/13 3:18:09 PM GMT+4:30","۲۳ تا ۲۹","مرد","خراسان رضوی","تهران","یک تا سه سال","دیپلم","","دو تا هفت ساعت","سایت‌های آموزش آنلاین خارجی;ویدئوهای مستقل آموزشی","کمتر از دو ساعت","یک","Javascript","Java;Python;PHP;Swift","","Windows 10","","iOS","ادیتورهای متن ساده (نوت پد پلاس پلاس، جی ادیت)","تیره","گیت;استفاده نمی کنم","","استک اورفلو;ترلو","تب","قهوه;انواع ماء الشعیر;آب","تی شرت;جین;پیرهن مردونه;تیره;ساعت می بندم;اسپورت","","در رابطه نیستم ولی دوست داشتم بودم;مینیمالیست هستم و سعی می‌کنم زندگی را پیچیده نکنم;اهل فیلم و سریال هستم","سنتی;پاپ ایرانی;راک;رپ","بدون رابطه ولی علاقمند به شروع رابطه","1","توسعه دهنده فرانت اند;طراح","شرکت های تولید نرم افزار","10","دو تا سه و نیم میلیون","","تمام وقت خصوصی (شامل استارتاپ‌های جا افتاده)","تمام وقت‌های کاری را در دفتر هستم","بین ده تا بیست و پنج","2","خیر"
"2018/02/13 3:18:33 PM GMT+4:30","۲۳ تا ۲۹","مرد","مازندران","تهران","زیر یکسال","فوق لیسانس","Linux (LPIC, ...);Programming Languages (Java, MCP, ..)","هفت تا چهارده ساعت","سایت‌های آموزش آنلاین خارجی;ویدئوهای مستقل آموزشی;یادگیری از طریق انجام پروژه","دو تا هفت ساعت","بیشتر از شش","Python;Matlab;Bash;Fortran","Java;C++;C#;Visual Basic;SQL","MySQL/MariaDB","Windows 7;Linux Ubuntu;Linux (other)","Linux RedHat;Linux Ubuntu","Android","ویم;ایمکس;PyCharm","گاهی روشن گاهی تیره","گیت","ویکی‌های مربوط به پروژه;بیگ دیتا;هوش مصنوعی","استک اورفلو;تلگرام برای کنترل پروژه","تفاوتی ندارد","چای سیاه;دمنوش‌های متنوع;آب","تی شرت;جین;اسپورت","","سیاست برایم مهم است;مینیمالیست هستم و سعی می‌کنم زندگی را پیچیده نکنم;اهل فیلم و سریال هستم;طبیعت را دوست دارم;خودم رو گیک می دونم","کلاسیک;سنتی;پاپ ایرانی;پاپ خارجی;متال;راک;بلوز","ازدواج کرده ام","3","توسعه دهنده بک اند;مدیر سیستم","شرکت های تولید نرم افزار;استارتاپ","5","زیر یک میلیون","قهوه،‌ چای و ... رایگان","استارتاپ دیگران","اکثر وقت‌ها در دفتر ولی دورکاری هم می کنم","ساعتی کار نمی کنم","3","خیر"
"2018/02/13 3:18:35 PM GMT+4:30","۲۳ تا ۲۹","مرد","همدان","تهران","زیر یکسال","لیسانس","","بیشتر از چهارده ساعت","ویدئوهای مستقل آموزشی","هفت تا چهارده ساعت","یک","C#","ح","MS-SQL","Windows 10","Windows Server 2016","Android","ویژوال استودیو","تیره","تی اف اس","سورس کنترل","استک اورفلو","هان؟","چای سیاه","جین;اسپورت","","بیشتر از یک نخ در روز سیگار می کشم;سیاست برایم مهم است;حداقل یک روز در میان دوش می گیرم;طبیعت را دوست دارم","کلاسیک;سنتی;پاپ ایرانی","بدون رابطه ولی علاقمند به شروع رابطه","2","توسعه دهنده بک اند;توسعه دهنده موبایل;توسعه دهنده فرانت اند","شرکت های ارائه دهنده سرویس های مختلف","30","دو تا سه و نیم میلیون","قهوه،‌ چای و ... رایگان;پاداش بر اساس نتایج;برگزاری مراسم و تولدها در داخل شرکت;بیمه;بیمه تکمیلی","تمام وقت خصوصی (شامل استارتاپ‌های جا افتاده)","تمام وقت‌های کاری را در دفتر هستم","ساعتی کار نمی کنم","3","بله"
"2018/02/13 3:18:45 PM GMT+4:30","۲۳ تا ۲۹","مرد","تهران","تهران","سه تا هفت سال","لیسانس","","کمتر از دو ساعت","سایت‌های آموزش آنلاین خارجی","صفر","یک","Java","Swift","sqlite","Linux Ubuntu","Linux CentOS","Android","محصولات جت برین","روشن","گیت","سورس کنترل;بیلد سیستم ها","استک اورفلو;ترلو;تلگرام برای کنترل پروژه;اسلک","تب","چای سیاه;قهوه","تی شرت;جین;پیرهن مردونه;گجت پوشیدنی دارم (ساعت هوشمند، ...)","","بیشتر از یک نخ در روز سیگار می کشم;سیاست برایم مهم است;اهل فیلم و سریال هستم;خودم رو گیک می دونم","پاپ ایرانی;پاپ خارجی","ازدواج کرده ام","5","توسعه دهنده بک اند;توسعه دهنده موبایل","بخش آی تی شرکت های غیر نرم افزاری (مانند مخابراتی‌ها، بانک ها، ...)","120","پنج تا هفت میلیون","عضویت باشگاه های ورزشی یا هزینه ورزش;ناهار رایگان;قهوه،‌ چای و ... رایگان;کارت هدیه و کارت خرید;پاداش بر اساس نتایج;بیمه;بیمه تکمیلی","تمام وقت دولتی با استخدام غیردائم","تمام وقت‌های کاری را در دفتر هستم","ساعتی کار نمی کنم","4","بله"
"2018/02/13 3:19:27 PM GMT+4:30","۱۸ تا ۲۲","مرد","کردستان","کردستان","یک تا سه سال","در حال تحصیل کاردانی","","دو تا هفت ساعت","سایت‌های آموزش آنلاین داخلی","دو تا هفت ساعت","دو یا سه","C++;C#;Python","Java;PHP;Swift","sqlite","Windows 10;Linux (other)","Windows Server 2012","Android","ویژوال استودیو;ادیتورهای متن ساده (نوت پد پلاس پلاس، جی ادیت);محصولات جت برین;محصولات اکلیپس","گاهی روشن گاهی تیره","","","استک اورفلو","تب","چای سیاه","جین;پیرهن مردونه","","بیشتر از یک نخ در روز سیگار می کشم;حداقل یک روز در میان دوش می گیرم;به شکل مرتب بازی‌های کامپیوتری می‌کنم;اهل فیلم و سریال هستم;خودم رو گیک می دونم","پاپ ایرانی;متال;راک;رپ","با کامپیوتر/اینترنت/برنامه نویسی/سیستم عامل/... در رابطه ام","3","توسعه دهنده فول استک وب;توسعه دهنده دسکتاپ;دانشمند داده;شبکه;امنیت","شرکت های ارائه دهنده سرویس های مختلف","6","زیر یک میلیون","","استارتاپ خودم","اکثر وقت‌ها در دفتر ولی دورکاری هم می کنم","ساعتی کار نمی کنم","5","بله"
"2018/02/13 3:19:31 PM GMT+4:30","۱۸ تا ۲۲","مرد","تهران","تهران","زیر یکسال","در حال تحصیل در دوره لیسانس","Network (CCNA, MCSE, MCITP, ...);Windows (MCP, ...)","بیشتر از چهارده ساعت","سایت‌های آموزش آنلاین خارجی","دو تا هفت ساعت","دو یا سه","Swift","Swift","sqlite","OS X","Linux Ubuntu","iOS;Phone? I dont carry a phone!","ویژوال استودیو;اتم;ایکس کد","تیره","گیت","سورس کنترل;کلاود;هوش مصنوعی","استک اورفلو;اسلک","اسپیس","نوشابه;انواع ماء الشعیر","تی شرت;پیرهن مردونه;تیره;گجت پوشیدنی دارم (ساعت هوشمند، ...);ساعت می بندم","","سیاست برایم مهم است;در رابطه نیستم ولی دوست داشتم بودم;حداقل یک روز در میان دوش می گیرم;مینیمالیست هستم و سعی می‌کنم زندگی را پیچیده نکنم;طبیعت را دوست دارم;خودم رو گیک می دونم","سنتی;راک","بدون رابطه ولی علاقمند به شروع رابطه","3","توسعه دهنده موبایل","تولید مستقل محصول و فروش در سایت ها و پلتفرمها","2","زیر یک میلیون","","پروژه ای مستقل","شخصی کار می کنم و در محل خودم","ساعتی کار نمی کنم","5","بله"
"2018/02/13 3:19:49 PM GMT+4:30","۲۳ تا ۲۹","مرد","آذربایجان شرقی","آذربایجان شرقی","سه تا هفت سال","لیسانس","","هفت تا چهارده ساعت","سایت‌های آموزش آنلاین خارجی;کتاب / خودآموزهای متنی;ویدئوهای مستقل آموزشی;یادگیری از طریق انجام پروژه","بیشتر از چهارده ساعت","هیچ","PHP;Javascript","Java;Ruby","MySQL/MariaDB;sqlite","Linux (other)","Linux Ubuntu","Android","سابلایم;محصولات جت برین","گاهی روشن گاهی تیره","گیت","ویکی‌های مربوط به پروژه;کلاود","استک اورفلو;تلگرام برای کنترل پروژه","تب","چای سیاه;انواع ماء الشعیر;آب","جین;پیرهن مردونه;تیره;روشن;ساعت می بندم;اسپورت","","گیاهخوار / خام خوار / خام گیاهخوار / ... هستم;سیاست برایم مهم است;در رابطه نیستم ولی دوست داشتم بودم;مینیمالیست هستم و سعی می‌کنم زندگی را پیچیده نکنم;اهل فیلم و سریال هستم;طبیعت را دوست دارم;خودم رو گیک می دونم","کلاسیک;سنتی;رپ","با کامپیوتر/اینترنت/برنامه نویسی/سیستم عامل/... در رابطه ام","1","توسعه دهنده فول استک وب;توسعه دهنده بک اند;توسعه دهنده فرانت اند;مدیر سیستم;مدیر دیتابیس;طراح;مدیر شرکت / پروژه / ...;تست کننده","تولید مستقل محصول و فروش در سایت ها و پلتفرمها","1","یک تا دو میلیون","","پروژه ای مستقل","شخصی کار می کنم و در محل خودم","ساعتی کار نمی کنم","4","بله"
"2018/02/13 3:21:31 PM GMT+4:30","۱۸ تا ۲۲","مرد","قزوین","قزوین","یک تا سه سال","در حال تحصیل در دوره لیسانس","","بیشتر از چهارده ساعت","سایت‌های آموزش آنلاین خارجی;کتاب / خودآموزهای متنی;ویدئوهای مستقل آموزشی;یادگیری از طریق انجام پروژه","دو تا هفت ساعت","دو یا سه","C;C++;Python;SQL;Go;Bash","","sqlite;MongoDB;Redis","Linux Ubuntu;Linux Fedora","Linux RedHat;Linux Debian;Linux Ubuntu","Android","سابلایم;ویژوال استودیو کد","تیره","گیت","سورس کنترل;بیلد سیستم ها;کلاود","استک اورفلو;تسکولو;تلگرام برای کنترل پروژه","تفاوتی ندارد","چای سیاه;قهوه;انواع ماء الشعیر","","","","","","2","توسعه دهنده بک اند;توسعه دهنده موبایل;توسعه دهنده دسکتاپ;بازی سازی","استارتاپ;تولید مستقل محصول و فروش در سایت ها و پلتفرمها","5","زیر یک میلیون","","استارتاپ خودم","شخصی کار می کنم و در محل خودم","ساعتی کار نمی کنم","5","بله"
"2018/02/13 3:22:55 PM GMT+4:30","۱۸ تا ۲۲","مرد","تهران","تهران","یک تا سه سال","در حال تحصیل در دوره لیسانس","","هفت تا چهارده ساعت","سایت‌های آموزش آنلاین خارجی;سایت‌های آموزش آنلاین داخلی;ویدئوهای مستقل آموزشی;یادگیری از طریق انجام پروژه","دو تا هفت ساعت","یک","Java;C;C++;C#;Javascript","Python;Perl;Swift;Bash","MS-SQL;sqlite;MongoDB","Windows 10;Linux Ubuntu","Linux Ubuntu","Android;Windows Phone","ویژوال استودیو;محصولات جت برین;Visual Studio Code","تیره","گیت","","استک اورفلو","تب","دمنوش‌های متنوع;آب","تی شرت;جین;تیره;ساعت می بندم;اسپورت","","به شکل مرتب نماز می‌خونم;اهل فیلم و سریال هستم;طبیعت را دوست دارم","پاپ خارجی;متال","با پارتنر دائم","1","توسعه دهنده فول استک وب;توسعه دهنده بک اند;توسعه دهنده موبایل;توسعه دهنده دسکتاپ;بازی سازی","شرکت های تولید نرم افزار","12","دو تا سه و نیم میلیون","برگزاری مراسم و تولدها در داخل شرکت;بیمه;بیمه تکمیلی","تمام وقت خصوصی (شامل استارتاپ‌های جا افتاده)","تمام وقت‌های کاری را در دفتر هستم","بین ده تا بیست و پنج","5","بله"
